FastaHeader	CAI
NM_002873.1	0.12261193857109076
NM_000122.1	0.30803390187425195
NM_012403.1	0.2338801213486485
NM_013393.1	0.3091062053920252
NM_006454.2	0.560288967275359
NM_021107.1	0.5097269322587815
NM_022170.1	0.2231230956116108
NM_023936.1	0.5374623036893373
NM_024096.1	0.3356360154136149
NM_024509.1	0.5385493279015816
NM_032099.1	0.26152863524877684
NM_001862.2	0.3155076318055637
NM_001010.2	0.2081871078972114
NM_020135.2	0.4014212167356711
NM_012245.2	0.18406205018036897
NM_004180.2	0.14666959118812212
NM_014203.2	0.5497698893045372
NM_138446.1	0.22258969346562255
NM_018180.2	0.19081000978178408
NM_003526.2	0.5484486599121525
NM_003926.5	0.6760071268497565
NM_016649.3	0.14604993450221643
NM_015956.2	0.4709896269076469
NM_024996.5	0.16619363185468372
NM_032112.2	0.46747308839460655
NM_020409.2	0.134895241426224
NM_016086.2	0.2862190502414862
NM_182523.1	0.15543105484049236
NM_002592.2	0.21105557170124245
NM_007013.3	0.1288920887748497
NM_145265.2	0.2143412218699955
NM_145914.2	0.3070472911952714
NM_058167.2	0.30891192088307773
NM_003422.2	0.48600505397359695
NM_002513.2	0.6019299122042409
NM_015918.3	0.25553216269388623
NM_003091.3	0.28552225746142584
NM_170607.2	0.4117993367345105
NM_015966.2	0.4043272056671004
NM_004804.2	0.3647304654294299
NM_002869.4	0.193866432570191
NM_004214.4	0.4676085753051736
NM_031953.2	0.18786796270289394
NM_006402.2	0.25801597177577695
NM_018128.4	0.21424309182758372
NM_001130.5	0.44217762520565385
NM_018366.2	0.5595935813400615
NM_004637.5	0.3230471049171512
NM_080867.2	0.1492916643224143
NM_006777.3	0.13826414768603842
NM_199069.1	0.3651267274158363
NM_015907.2	0.21958093063935208
NM_002642.3	0.25261168751389024
NM_019069.3	0.15425814992619938
NM_007375.3	0.20493461029157334
NM_002939.3	0.585994167132081
NM_203376.1	0.2475705029575781
NM_006117.2	0.1923471115410852
NM_014908.3	0.35409082601536923
NM_015235.2	0.20118481196424806
NM_002312.3	0.12918018048540672
NM_016202.2	0.597815755587822
NM_207122.1	0.28434870796045947
NM_207040.1	0.17325790927587778
NM_004436.2	0.3372194812519266
NM_032815.3	0.33758115363765134
NM_002730.3	0.4389132590152065
NM_003150.3	0.3296729588466257
NM_007008.2	0.1794275393836745
NM_016607.3	0.16783270318515597
NM_022768.4	0.25369337543967674
NM_006759.3	0.1504720173515656
NM_000454.4	0.22967950943332796
NM_012300.2	0.20542857817735685
NM_006936.2	0.5759949314148791
NM_001001795.1	0.603539155535028
NM_138417.2	0.3425857233829593
NM_016099.2	0.24915002039369194
NM_006545.4	0.42991188722578405
NM_022060.2	0.34425647759518013
NM_016028.4	0.16227333479129064
NM_003678.4	0.34978220707827967
NM_017829.5	0.41397313128412916
NM_024072.3	0.5120819045163251
NM_004634.2	0.4107632616152428
NM_019103.2	0.47593670507061575
NM_014628.2	0.3057360796833742
NM_032431.2	0.43701273194725077
NM_001499.2	0.30618846725936366
NM_002138.3	0.2160088022199414
NM_001685.4	0.205170059424554
NM_080476.4	0.2898137293197216
NM_006805.3	0.474425084491675
NM_002105.2	0.6739383928337546
NM_006986.3	0.2971168033419637
NM_001533.2	0.3807706686453269
NM_017838.3	0.39483071250181934
NM_016496.4	0.4870080867320331
NM_005112.4	0.4562468230041514
NM_004435.2	0.5657015366638505
NM_003400.3	0.12421675099399551
NM_018412.3	0.19205829963005328
NM_003352.4	0.18095611929822436
NM_001007068.1	0.1521081089405213
NM_006842.2	0.3436024353289617
NM_020946.1	0.36079117688515794
NM_033089.6	0.5507498221786435
NM_018321.3	0.15960286484241376
NM_004871.2	0.1706678379647984
NM_000994.3	0.3669868149678198
NM_024707.2	0.339729766997208
NM_014955.2	0.35486341917914144
NM_004499.3	0.3231589617031816
NM_003563.3	0.250794088961725
NM_004586.2	0.13693330643103543
NM_024100.3	0.5895854359089217
NM_017836.3	0.37666717467979705
NM_014170.2	0.19344405693704525
NM_003663.3	0.2093484540094891
NM_007157.3	0.3590816632653837
NM_030573.2	0.4178720010530912
NM_024117.3	0.23136157287344394
NM_021184.3	0.31009744702789244
NM_000837.1	0.5132870412321814
NM_005962.4	0.2442656741389905
NM_006570.4	0.4013400199524458
NM_014145.4	0.301206711704249
NM_022149.4	0.3690623459069672
NM_000455.4	0.5667850709731173
NM_177401.4	0.5340138414861131
NM_017797.3	0.5887962741531778
NM_001206.2	0.43591630587306085
NM_007279.2	0.5057336425474875
NM_138457.2	0.5090428909818916
NM_001921.2	0.26231167992607346
NM_001328.2	0.5459898581368661
NM_031216.3	0.17736781081065636
NM_001013663.1	0.3309167257817488
NM_032804.5	0.6087019041103118
NM_004356.3	0.5849296203414495
NM_005163.2	0.5980474370158152
NM_002906.3	0.1434250426413473
NM_001985.2	0.5299365143188518
NM_006234.4	0.384968988566475
NM_015921.2	0.32532052840807985
NM_002408.3	0.29209564754982875
NM_005645.3	0.1393258147331851
NM_153232.3	0.2807021792065885
NM_177938.2	0.43898609632001895
NM_015640.3	0.19932874646328042
NM_006118.3	0.2513349867793096
NM_031940.3	0.18220128827910043
NM_014676.2	0.2284372032343486
NM_020806.4	0.17143971427046484
NM_145271.3	0.46180784107965966
NM_002485.4	0.13120421673378296
NM_018261.3	0.15236226080280124
NM_194283.3	0.19070119698321167
NM_006758.2	0.2929322392708413
NM_014409.3	0.31558679336945294
NM_001090.2	0.35220641176107426
NM_006460.2	0.45747217900482556
NM_001948.3	0.2063716669482832
NM_031443.3	0.4000800501677383
NM_139281.2	0.14320417868995433
NM_007075.3	0.41399304902477774
NM_001128.5	0.1644617171544589
NM_017944.3	0.1497190914583353
NM_001173.2	0.12373336332388996
NM_022734.2	0.22317730086886048
NM_000382.2	0.1995275434058723
NM_013247.4	0.2885231777861269
NM_005710.2	0.3627583203356704
NM_004501.3	0.22378720101952806
NM_015962.4	0.18419790266923763
NM_033420.3	0.6527862794740674
NM_001033088.1	0.2702263529146705
NM_006369.4	0.32492640592791133
NM_020889.2	0.3051687965596748
NM_002745.4	0.255887838980604
NM_001324.2	0.2085555706955163
NM_016494.3	0.32428771665358924
NM_016589.3	0.1872943678889979
NM_015035.3	0.31658889516462857
NM_003252.3	0.1527584155957634
NM_176867.3	0.20024631092231948
NM_015636.3	0.2505972079863836
NM_002810.2	0.3187790724873625
NM_001035505.1	0.21894473293458205
NM_003001.3	0.24096828337577475
NM_001033583.2	0.19193102909660031
NM_153681.2	0.16306442560113812
NM_003751.3	0.3600153792432008
NM_001207.4	0.19668907051737416
NM_001568.2	0.1606165833529319
NM_030579.2	0.22880263037643828
NM_002911.3	0.49793330257195534
NM_018279.3	0.16629291785632486
NM_001039697.1	0.22487190057828796
NM_006643.3	0.3437511014404319
NM_006706.3	0.18245789266997978
NM_025141.3	0.291307707649252
NM_004493.2	0.3223356797240097
NM_017765.2	0.550241065633679
NM_018396.2	0.23703626117553536
NM_020233.4	0.1828642742414711
NM_024715.3	0.2245355897541933
NM_004607.2	0.17323355427165454
NM_018233.3	0.24333900285029844
NM_006251.5	0.15146951884623375
NM_003574.5	0.1786094015449758
NM_032558.2	0.2254926184488543
NM_032560.4	0.1463933170668477
NM_017670.2	0.5228675462226504
NM_001605.2	0.32341135647972175
NM_152734.3	0.2575441722558851
NM_152455.3	0.23103359485336306
NM_017856.2	0.29721524279775463
NM_002643.3	0.12573904330630117
NM_006819.2	0.33336933362375853
NM_006954.1	0.1703940482652175
NM_005701.3	0.27835754210383495
NM_017580.2	0.15844505846553225
NM_032226.2	0.18444979949876805
NM_003185.3	0.3578748480253349
NM_015514.1	0.2181326856429897
NM_016018.4	0.1587121381473527
NM_014042.2	0.35492450531568087
NM_005216.4	0.3912777085025921
NM_018293.2	0.12481779491748185
NM_014299.2	0.3966490497104476
NM_032193.3	0.447803148828831
NM_014507.3	0.43310291559660097
NM_004427.3	0.3999787934455402
NM_003000.2	0.2904050365900175
NM_000696.3	0.21817564637487963
NM_023923.3	0.19136400867302777
NM_004859.3	0.1658536629771529
NM_020642.3	0.2453871341078628
NM_032683.2	0.4522283310904782
NM_007171.3	0.37287704132189703
NM_001042371.2	0.6133677417662957
NM_001013657.2	0.3327987808392988
NM_018107.4	0.2507080090245683
NM_182972.2	0.44106603417309187
NM_018149.6	0.18847289029552802
NM_020195.2	0.3337981500519982
NM_004500.3	0.23787199837003556
NM_014803.3	0.1191497497499013
NM_014739.2	0.15510243613753294
NM_001077637.1	0.19693254944085536
NM_024740.2	0.2105635677550107
NM_001078172.1	0.599176864092858
NM_003192.2	0.38865627241978934
