ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15,TPM16,TPM17,TPM18,TPM19,TPM20,TPM21,TPM22,TPM23
ENSG00000164880 ,0.521759,0.230538,,,,,,,,,,,,,,,,,,,,,
ENSG00000167136 ,32.335754,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167658 ,2539.378662,0.508268,0.457193,0.426484,,,,,,,,,,,,,,,,,,,
ENSG00000167671 ,34.370918,2.037475,0.51497,0.278782,0.264028,0.111539,,,,,,,,,,,,,,,,,
ENSG00000167685 ,39.180557,0.099419,0.022794,0.002015,,,,,,,,,,,,,,,,,,,
ENSG00000168159 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171206 ,0.398924,,,,,,,,,,,,,,,,,,,,,,
ENSG00000172270 ,1025.320679,0.66053,0.419329,0.011051,,,,,,,,,,,,,,,,,,,
ENSG00000172663 ,1.898108,0.378368,0.376262,0.270124,0.048999,0.048143,0.016241,0.001253,0.000855,,,,,,,,,,,,,,
ENSG00000173272 ,6.214651,1.107468,0.599567,,,,,,,,,,,,,,,,,,,,
ENSG00000175221 ,20.237061,1.355438,,,,,,,,,,,,,,,,,,,,,
ENSG00000176022 ,55.812416,,,,,,,,,,,,,,,,,,,,,,
ENSG00000177169 ,15.900504,0.594319,0.371052,0.2253,0.149281,0.129387,,,,,,,,,,,,,,,,,
ENSG00000178951 ,13.577069,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179010 ,386.054352,23.532633,0.748009,,,,,,,,,,,,,,,,,,,,
ENSG00000179886 ,9.580431,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179943 ,0.162058,,,,,,,,,,,,,,,,,,,,,,
ENSG00000180596 ,1.704021,,,,,,,,,,,,,,,,,,,,,,
ENSG00000181027 ,18.893284,0.382635,0.1943,0.170302,0.031408,,,,,,,,,,,,,,,,,,
ENSG00000181029 ,10.30778,1.529592,,,,,,,,,,,,,,,,,,,,,
ENSG00000181915 ,31.470163,,,,,,,,,,,,,,,,,,,,,,
ENSG00000182087 ,83.54921,2.668427,0.424001,0.360015,0.243495,0.153884,0.117957,0.044068,,,,,,,,,,,,,,,
ENSG00000182154 ,99.327499,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184207 ,27.196037,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184897 ,241.399719,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184900 ,92.157837,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185129 ,8.607508,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185236 ,48.629391,1.372156,,,,,,,,,,,,,,,,,,,,,
ENSG00000185883 ,284.026947,,,,,,,,,,,,,,,,,,,,,,
ENSG00000186350 ,9.022437,,,,,,,,,,,,,,,,,,,,,,
ENSG00000187051 ,49.269375,0.314574,0.277062,0.044482,0.032555,,,,,,,,,,,,,,,,,,
ENSG00000188486 ,313.019989,,,,,,,,,,,,,,,,,,,,,,
ENSG00000189114 ,7.770648,,,,,,,,,,,,,,,,,,,,,,
ENSG00000197562 ,17.825838,0.000477,0.000216,,,,,,,,,,,,,,,,,,,,
ENSG00000203950 ,89.397514,2.349483,,,,,,,,,,,,,,,,,,,,,
ENSG00000213015 ,60.689415,,,,,,,,,,,,,,,,,,,,,,
ENSG00000213563 ,11.436087,0.291372,0.009551,,,,,,,,,,,,,,,,,,,,
ENSG00000214022 ,57.135395,10.091857,2.346563,0.117855,0.048273,0.006811,0.006564,0.001683,,,,,,,,,,,,,,,
ENSG00000214309,3.303037,,,,,,,,,,,,,,,,,,,,,,
ENSG00000224051 ,22.234934,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238158 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238227 ,54.098133,0.256074,,,,,,,,,,,,,,,,,,,,,
ENSG00000240972 ,933.442017,1.513987,,,,,,,,,,,,,,,,,,,,,
ENSG00000247315 ,52.106544,,,,,,,,,,,,,,,,,,,,,,
ENSG00000250571 ,2.52138,0.566685,0.146029,0.049353,0.020278,0.010134,,,,,,,,,,,,,,,,,
ENSG00000254402 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000254901 ,10.184554,0.352833,0.33251,0.089983,0.054135,0.000703,,,,,,,,,,,,,,,,,
ENSG00000261221,10.184554,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274768 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274958 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000276701 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000277972 ,20.620754,0.011808,,,,,,,,,,,,,,,,,,,,,
ENSG00000278016 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000282092 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000285426 ,,,,,,,,,,,,,,,,,,,,,,,
