ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12
ENSG00000165156 ,18.316799,,,,,,,,,,,
ENSG00000165494 ,6.535974,2.852751,0.048583,0.003448,,,,,,,,
ENSG00000166012 ,6.218655,0.29441,0.2788,0.161437,0.122807,0.055044,0.024171,,,,,
ENSG00000166266 ,12.590485,,,,,,,,,,,
ENSG00000168116 ,13.071743,,,,,,,,,,,
ENSG00000168175 ,20.681595,,,,,,,,,,,
ENSG00000169139 ,28.846392,1.600667,0.517053,0.029665,,,,,,,,
ENSG00000169905 ,8.41489,,,,,,,,,,,
ENSG00000171681 ,13.390779,0.524798,0.212794,0.015978,0.008201,0.000121,,,,,,
ENSG00000172172 ,72.130203,0.036136,0.002127,,,,,,,,,
ENSG00000174405 ,,,,,,,,,,,,
ENSG00000174485 ,0.429849,,,,,,,,,,,
ENSG00000175105,3.375022,,,,,,,,,,,
ENSG00000176018 ,5.716952,,,,,,,,,,,
ENSG00000177683 ,19.165304,0.136627,0.005661,,,,,,,,,
ENSG00000177853 ,7.944185,,,,,,,,,,,
ENSG00000178966 ,6.639294,,,,,,,,,,,
ENSG00000183735 ,21.886684,0.185822,0.026824,,,,,,,,,
ENSG00000187522 ,47.323811,0.282869,,,,,,,,,,
ENSG00000196504 ,28.426586,0.36689,0.236016,0.148949,0.006466,0.000787,,,,,,
ENSG00000196591 ,44.251904,0.416978,0.415087,0.317058,,,,,,,,
ENSG00000197008 ,7.472134,0.016692,,,,,,,,,,
ENSG00000197780 ,33.43306,,,,,,,,,,,
ENSG00000198015 ,15.439315,2.34498,0.678322,0.633602,,,,,,,,
ENSG00000198060 ,36.15419,,,,,,,,,,,
ENSG00000198146 ,28.988771,,,,,,,,,,,
ENSG00000198160 ,13.675384,0.087191,0.004429,,,,,,,,,
ENSG00000214367 ,,,,,,,,,,,,
ENSG00000221909 ,7.99486,,,,,,,,,,,
ENSG00000244754 ,5.480056,0.438332,,,,,,,,,,
ENSG00000263160 ,,,,,,,,,,,,
ENSG00000270757 ,,,,,,,,,,,,
ENSG00000276618 ,,,,,,,,,,,,
ENSG00000283068 ,,,,,,,,,,,,
ENSG00000284024 ,11.802579,,,,,,,,,,,
ENSG00000285253 ,,,,,,,,,,,,
